Evaluation/MinReturn,EnvInfo/mp_time_sum,Evaluation/Iteration,Evaluation/MaxReturn,EnvInfo/eps_time_mean,CustomGaussianValueFunction/LossBefore,EnvInfo/sim_steps_sum,TotalEnvSteps,HybridPolicy/EntropyContinuous,EnvInfo/sim_steps_mean,EnvInfo/mp_time_mean,Evaluation/AverageReturn,EnvInfo/sim_steps_min,Evaluation/TerminationRate,EnvInfo/distance_to_goal_sum,EnvInfo/mp_time_min,EnvInfo/eps_time_min,Evaluation/SuccessRate,HybridPolicy/LossBefore,EnvInfo/eps_time_sum,HybridPolicy/EntropyDiscrete,CustomGaussianValueFunction/LossAfter,EnvInfo/distance_to_goal_mean,EnvInfo/distance_to_goal_min,Evaluation/AverageDiscountedReturn,CustomGaussianValueFunction/dLoss,Evaluation/NumEpisodes,HybridPolicy/LossAfter,Evaluation/StdReturn
-14.249046541875698,91.79200000000006,0,-5.136622861880818,9.20176642335767,58.19627380371094,630321.0000000005,2055,1.2188717126846313,4600.883211678835,0.6700145985401464,-8.572182750239106,2684.0000000000014,0.0,4.374541168082115,0.01,5.368000000000003,0.0,-0.0008272338309325278,1260.6420000000007,1.6237130165100098,7.236555099487305,0.03193095743125632,0.014296489027797248,-7.945805745566858,50.95971870422363,137,-0.027585143223404884,1.9734503467586746
-13.496820724917052,104.35800000000003,1,19.591445427942705,11.464857142857149,16.188013076782227,802540.0000000002,4106,1.3987455368041992,5732.428571428573,0.7454142857142859,-8.40868845002397,988.0000000000008,0.02857142857142857,3.9527368521674844,0.02600000000000001,1.9760000000000015,0.02857142857142857,-0.0008821926894597709,1605.0800000000008,1.7313497066497803,10.661532402038574,0.028233834658339174,0.0007422427785480218,-7.77924091593922,5.526480674743652,140,-0.010594649240374565,5.0570066799385005
-13.236800124331065,114.94800000000002,2,18.37943196167436,11.630762589928064,19.46954917907715,808338.0000000005,6157,1.432059407234192,5815.381294964032,0.8269640287769786,-7.9490592169002365,1139.000000000001,0.02877697841726619,3.9088034646570815,0.014,2.278000000000002,0.03597122302158273,-0.000893660238943994,1616.6760000000008,1.746158242225647,13.636223793029785,0.028120888234943034,0.0003783819332699757,-7.379868910059921,5.833325386047363,139,-0.008163534104824066,4.9077869994755385
-13.146407092201517,105.97800000000007,3,18.84869267894772,10.967442857142863,13.6542387008667,767721.0000000005,8214,1.4286454916000366,5483.721428571432,0.7569857142857147,-7.837290842445051,1173.000000000001,0.02857142857142857,3.941073053020209,0.004,2.346000000000002,0.03571428571428571,-0.00087848020484671,1535.442000000001,1.7265520095825195,10.816495895385742,0.028150521807287207,0.0007260178415819429,-7.266842051104994,2.837742805480957,140,-0.009752074256539345,5.260542232874345
-13.81515607555211,97.51400000000004,4,18.404390141242388,11.095842857142863,11.737299919128418,776709.0000000005,10267,1.445084810256958,5547.9214285714315,0.6965285714285717,-7.380411263324788,1342.000000000001,0.03571428571428571,3.622349500519708,0.002,2.684000000000002,0.04285714285714286,-0.0008767799590714276,1553.4180000000008,1.7272214889526367,9.044678688049316,0.0258739250037122,0.00028125603634145737,-6.851773124515456,2.6926212310791016,140,-0.009469938464462757,5.447683565349476
-13.138377924658712,101.66000000000005,5,19.148452624966183,11.01528671328672,16.029048919677734,787593.0000000005,12317,1.453209400177002,5507.64335664336,0.7109090909090913,-5.976740663919595,1008.0000000000007,0.08391608391608392,3.297632364482925,0.002,2.0160000000000013,0.08391608391608392,-0.000893440272193402,1575.186000000001,1.7234290838241577,11.834468841552734,0.023060366185195278,0.0004358241275645318,-5.548063120139645,4.194580078125,143,-0.0070289019495248795,7.041742298255788
-12.642906425487263,108.12600000000006,6,19.03780887950626,11.195014084507049,10.56659984588623,794846.0000000005,14376,1.4195855855941772,5597.507042253525,0.7614507042253525,-6.116058267603154,1196.000000000001,0.07042253521126761,3.316461482156722,0.03600000000000002,2.3920000000000017,0.07042253521126761,-0.0008841195376589894,1589.692000000001,1.7201086282730103,8.574756622314453,0.02335536255039945,0.0018395321407488642,-5.692047775293905,1.9918432235717773,142,-0.006983861327171326,6.317016214616556
-13.040758451626939,105.69800000000006,7,19.161068283167477,10.56144444444445,12.167625427246094,760424.0000000005,16434,1.4456208944320679,5280.722222222225,0.7340138888888893,-5.605889184188042,1112.0000000000007,0.09027777777777778,3.503872909933061,0.024000000000000007,2.2240000000000015,0.09722222222222222,-0.0008692997507750988,1520.8480000000009,1.66464364528656,9.524571418762207,0.024332450763424038,0.0009654611461021265,-5.207721463766574,2.6430540084838867,144,-0.006558458786457777,7.450142910499325
-13.71343235872744,124.1040000000001,8,19.138473004330333,11.109156462585041,11.977724075317383,816523.0000000005,18490,1.4914860725402832,5554.57823129252,0.8442448979591843,-4.919179768112672,836.0000000000006,0.1292517006802721,3.484753811112906,0.012,1.6720000000000013,0.1292517006802721,-0.0008743912330828607,1633.046000000001,1.6669199466705322,9.373414993286133,0.023705808238863306,0.00044044898097254345,-4.5626749933412505,2.60430908203125,147,-0.005704679060727358,8.542676099077314
-14.15595201210726,103.56000000000003,9,19.178608583604294,11.03372222222223,7.20850133895874,794428.0000000005,20547,1.42909836769104,5516.861111111114,0.7191666666666668,-5.5055765370592304,1181.000000000001,0.09027777777777778,3.3496159823761174,0.016,2.362000000000002,0.09027777777777778,-0.0008678205776959658,1588.8560000000011,1.6888178586959839,6.185030460357666,0.02326122209983415,0.0005185258569352802,-5.111726543291137,1.0234708786010742,144,-0.007448033429682255,7.1731217272323
